ISO timestamp of the import (UTC),Report date extracted from filename,Region/market from filename,Page URL,Traffic share (%),Number of ranking keywords,Estimated organic traffic,Adwords positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic change
target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a
timestamp_iso,report_date,region,url,traffic_pct,keywords,traffic,adwords_positions,positions_commercial_top20,positions_informational_top20,positions_navigational_top20,positions_transactional_top20,positions_unknown_top20,traffic_commercial_top20,traffic_informational_top20,traffic_navigational_top20,traffic_transactional_top20,traffic_unknown_top20,traffic_change
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/,72.29,22447,134993,0,489,1017,301,274,0,7466,54675,85788,20134,0,-19718
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/city-climb/,2.07,650,3870,0,46,198,17,59,0,126,3738,3,351,0,-3594
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/discover-edge/,0.03,226,73,0,3,54,8,15,0,0,73,0,27,0,-3096
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/get-tickets/,15.73,8658,29381,0,142,512,175,297,0,5143,20565,4990,7116,0,2104
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/things-to-do/eat-drink/,1.1,1718,2062,0,302,173,146,61,0,1257,502,291,146,0,-992
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/advance-saver-ticket/,1.05,206,1975,0,18,102,45,92,0,188,1137,598,589,0,978
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/visit/getting-here/,0.61,220,1151,0,23,90,29,45,0,20,278,820,193,0,793
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/visit/,0.19,504,365,0,22,162,46,97,0,20,307,20,47,0,-543
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/edge-nyc-your-guide-to-the-best-views-in-nyc/,0.31,92,579,0,5,54,19,22,0,22,555,22,190,0,539
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/cityclimb,0.34,24,645,0,15,9,0,4,0,463,155,0,31,0,-488
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/faqs/,0.12,342,230,0,15,108,24,44,0,21,195,19,43,0,-475
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/marquee-skydeck/,2.03,783,3792,0,112,274,21,73,0,337,3512,104,659,0,421
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/top-indoor-activities-for-a-winter-day-in-nyc/,0.08,139,155,0,52,38,0,0,0,126,61,0,0,0,-285
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck/,0.51,250,970,0,17,114,24,30,0,23,909,352,69,0,272
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/general-admission-ticket/,0.14,70,267,0,3,18,9,13,0,9,249,43,51,0,266
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/museum-of-ice-cream/,0.13,61,253,0,4,29,26,13,0,4,182,125,116,0,253
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/things-to-do/visit-hudson-yards/,0.19,517,355,0,93,66,76,26,0,13,93,324,3,0,-151
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/offers-discounts/,0.22,243,416,0,5,75,23,66,0,56,328,9,154,0,-135
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/things-to-do/events-calendar/,0.25,2065,476,0,117,288,19,21,0,13,413,2,3,0,-117
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/sky-high-yoga/,0.44,329,838,0,43,47,23,19,0,200,641,6,216,0,-116
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/museum-of-ice-cream-pinkmas/,0.03,109,74,0,6,33,23,4,0,3,73,1,0,0,-115
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/new-years-eve-at-edge/,0.1,835,189,0,76,178,1,20,0,30,180,0,6,0,100
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/candlelight-concerts/,0.23,223,447,0,48,98,4,23,0,190,271,1,165,0,-97
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/riordan-at-marquee-skydeck/,0.01,72,30,0,1,20,0,8,0,5,25,0,24,0,-94
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-gryffin/,0,8,6,0,0,3,0,0,0,0,6,0,0,0,-93
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/general-admission-ticket-edge/,0,63,13,0,1,23,18,30,0,0,3,10,11,0,-84
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/winter-date-ideas-nyc/,0.07,78,137,0,5,32,0,0,0,21,129,0,0,0,-67
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-chris-lorenzo/,0,19,2,0,0,2,0,1,0,0,1,0,0,0,-63
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/group-birthday-ideas-nyc/,0.01,171,33,0,25,21,2,0,0,18,16,0,0,0,-61
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/things-to-do/,0.04,465,89,0,22,66,20,22,0,12,29,26,9,0,59
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/de/,0.02,1,56,0,0,1,1,0,0,0,56,56,0,0,55
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/visit/private-events/,0.01,350,23,0,33,29,12,19,0,3,2,8,9,0,-49
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/visit/passes/,0.04,268,90,0,20,69,10,26,0,15,55,22,27,0,-35
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-risque/,0,58,13,0,0,18,2,5,0,0,11,1,0,0,-34
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/terms-conditions/,0,30,10,0,2,12,4,7,0,0,10,0,1,0,-30
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/winter-activities-in-nyc-with-kids-family-friendly-fun-for-cold-days/,0.03,161,67,0,43,65,1,0,0,16,67,0,0,0,-30
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/iconic-moments-at-edge-jlo-and-malumas-pa-ti-music-video/,0.01,13,32,0,0,7,1,1,0,0,32,28,4,0,28
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/visit/getting-here/edge-menu/,0.5,217,951,0,42,26,12,12,0,104,842,3,258,0,-27
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/de/news/celebrate-st-patricks-day-at-edge-nyc/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/backyard-at-hudson-yards/,0.01,17,37,0,1,12,1,6,0,1,36,0,29,0,26
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/tickets/candlelight-concert-series/,0.01,30,26,0,3,4,0,4,0,0,21,0,21,0,24
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/best-places-for-cocktails-with-a-view-in-nyc/,0.03,132,68,0,25,28,12,14,0,55,11,2,6,0,24
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/black-friday-savings-edge/,0,29,1,0,0,5,0,0,0,0,1,0,0,0,-22
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/tickets/sky-high-yoga/,0.07,24,147,0,2,16,0,4,0,13,134,0,6,0,22
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/visit/getting-here/sky-assurance-weather-guarantee/,0.01,9,34,0,1,3,3,0,0,1,22,12,0,0,21
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/the-rock-roll-playhouse/,0.01,38,27,0,1,12,2,5,0,0,27,0,22,0,20
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/student-discount-at-edge/,0,29,17,0,1,13,0,1,0,0,17,0,0,0,17
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/contact-us/,0.01,25,30,0,5,7,1,2,0,2,28,0,16,0,17
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/web-only-offer/,0,33,16,0,0,17,5,20,0,0,11,0,13,0,16
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marqruee-skydeck-two-friends/,0.06,72,113,0,1,30,4,7,0,48,64,0,4,0,-16
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/es/news/discover-the-best-winter-activities-in-nyc-this-season/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-15
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/hudson-yards-newest-eateries/,0,16,1,0,4,3,0,2,0,1,0,0,0,0,-13
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-loud-luxury/,0.05,61,102,0,0,11,0,7,0,0,102,0,49,0,13
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-meduza%C2%B3/,0,23,7,0,0,1,0,0,0,0,2,0,0,0,-12
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/ten-things-to-do-this-spring-in-new-york/,0,27,13,0,0,17,0,0,0,0,13,0,0,0,-11
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/7-ways-to-see-the-nyc-skyline-this-summer/,0.01,60,31,0,18,13,2,0,0,18,25,0,0,0,-11
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/web-only-promo/,0.02,7,50,0,0,4,0,3,0,0,8,0,42,0,-10
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-austin-millz/,0,38,6,0,0,7,1,0,0,0,6,0,0,0,-9
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/fr/news/www-edgenyc-com-news-thanksgiving-things-to-do-nyc/,0,9,0,0,0,3,0,0,0,0,0,0,0,0,-8
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/the-ultimate-galentines-day-nyc-itinerary/,0,2,8,0,0,2,0,0,0,0,8,0,0,0,8
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/4th-july/,0,280,17,0,20,33,0,4,0,12,1,0,0,0,-8
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/the-best-black-friday-deals-in-nyc-for-2025/,0.04,69,75,0,12,29,0,8,0,27,52,0,8,0,8
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/tri-state-savings-at-edge/,0,24,6,0,1,2,1,1,0,0,0,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/things-to-do/hudson-yards-luxury-experience/,0,36,9,0,1,7,1,3,0,0,9,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-layton-giordani/,0,31,13,0,1,6,1,0,0,5,11,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-benny-banassi/,0.01,31,22,0,0,6,0,1,0,0,22,0,4,0,-6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-diplo/,0.01,43,24,0,1,9,0,1,0,3,24,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-afriqua/,0,28,0,0,0,6,1,3,0,0,0,0,0,0,-5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/terms-conditions-hy-luxury/,0,2,5,0,0,2,0,1,0,0,5,0,0,0,5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/24-hours-in-nyc-holiday-edition/,0,4,5,0,0,2,0,0,0,0,5,0,0,0,5
